emis_key,school_name
700250688,gp Gustav Preller Primary School
700121590,gp Motjoli Primary School
700400084,gp Inkululeko Yesizwe Primary School
700400528,gp Khulanolwazi Primary School
700251983,gp Thusong Combined School
700320093,gp Frikkie Meyer Primary School
700220335,gp Meyerspark Primary School
700220954,gp FF Ribiero Primary School (ex Ntshabohloko)
700350629,gp Dan Radebe Primary School
700911971,gp Seroto Matshehla Primary School
700340778,gp Masizakhe Primary School
700110775,gp Itemogele Primary School
700220293,gp Derdepoort Primary School
700221093,gp Sikhanyisele Primary School
700221150,gp Tshimollo Primary School
700271007,gp Phandulwazi Primary School
700132639,gp Nka Thuto Primary School
700210864,gp Witpoort Nr 224 Primary School
700260091,gp Edleen Primary School
700270363,gp Rapportryer Primary School
700221333,gp Transvalia Special School
700340901,gp Mogobeng Primary School
700150391,gp Delta Park School
700350280,gp Jan van Riebeeck Primary School
700150235,gp Bryneven Primary School
700350975,gp Ntokozweni Primary School
700400079,gp Mpumelelo Primary School
700210708,gp Fleur Primary School
700400698,gp Stanley Ramoba Primary School
700251371,gp Enkolweni Primary School
700160903,gp Elandia Primary School
700130831,gp Linksfield Primary School
700911114,gp Maropeng Primary School
700330472,gp Voorwaarts Primary School
700910825,gp Leboneng Primary School
700340679,gp Intokozo Primary School
700911852,gp Redirile Primary School
700240994,gp Mokonyama Primary School (MANDELA VILLAGE)
700260919,gp Isekelo Primary School
700400245,gp Chief Luthuli Primary School
700121889,gp Wisani Primary School
700241075,gp Phakamonola Primary School
700211623,gp Rethabiseng Primary School
700152421,gp Zenzeleni Primary School
700111021,gp Merafe Primary School
700131300,gp Asteri Primary School
700210914,gp Lyttelton Primary School
700132563,gp Molemo Primary School
700341438,gp Ukhanyiso Primary School
700271304,gp Itumeleng School for Severely Mentally Disabled
700330985,gp Madume Primary School
700260695,gp Ebomini Primary School
700140467,gp Ekuthuleni Combined School
700130757,gp King Edward V11 Primary School
700341461,gp Umzamo Primary School
700330456,gp Unitaspark Primary School
700110676,gp Esithebeni Primary School
700260422,gp Nobel Primary School
700231514,gp Banareng Primary School
700231936,gp Marematlou Primary School
700261694,gp Reagile Primary School
700320101,gp Hendrik van der Bijl Primary School
700120766,gp Turffontein Primary School
700331561,gp Zonkizizwe Primary School (Orange Farm)
700220525,gp Agnes Chidi Primary School
700251900,gp Sizwile School for the Deaf
700221408,gp Tshegofatsong Special School
700400106,gp Igugulethu Primary School
700910937,gp Lowe Primary School
700150227,gp Bryanston Primary School
700231365,gp Prospectus Novus Special School
700130815,gp Kensington Primary School
700311662,gp Kingsway Primary School
700211177,gp Unica Special School
700150359,gp Craighall Primary School
700231399,gp Robert Hicks Primary School
700270348,gp Driefontein East Primary School
700321588,gp Tjhabatsatsi Primary School
700340158,gp Heidelberg Public Primary School
700260901,gp Ipontshe Primary School
700140061,gp Gr Harris Primary School
700231829,gp Kgabo Primary School
